Name,Affiliation,h-index,i10-index,Citations,College/Company,Research Interest 1,Research Interest 2
Indrajit Chakraborty,Indian Institute of Technology Bombay,17,23,1139,Indian Institute of Technology Bombay,Theoretical Chemistry,Computational Chemistry
"Indrajit Saha, PhD","Assistant Professor,  Department of Computer Science and Engineering",22,45,1989,National Institute of Technology,Durgapur,Bioinformatics
Indranath Sengupta,"Professor, Discipline of Mathematics, IIT Gandhinagar, IMDIA",10,12,339,IIT Gandhinagar,Mathematics,Applied Mathematics
INDULEKHA. K.P,Associate Professor,3,1,37,University of Calicut,Environmental Chemistry,Analytical Chemistry
Vrithamani Aprameya Indumathi,"Professor , Microbiology department, M.S.Ramaiah Medical College Bangalore, Karnataka, India",13,15,734,M.S. Ramaiah Medical College,Microbiology,Infectious Diseases
"Distinguished Professor Ingrid Piller, FAHA",Macquarie University,39,62,10601,Macquarie University,Sociolinguistics,Language and Migration
MUHAMMAD IRFAN,student of Comsats university,136,1162,189599,COMSATS University,Artificial Intelligence,Data Science
Javaid Akhter Bhat,Nanjing Agricultural University,39,94,5982,Nanjing Agricultural University,Plant Genetics,Crop Improvement
Dr. Joydip Dhar,"Professor (Applied Sciences), ABV-Indian Institute of Information Technology and",29,80,2866,ABV-Indian Institute of Information Technology and Management,Data Mining,Machine Learning
Jayashri Kulkarni,Professor of Psychiatry,69,214,17539,Monash University,Women's Mental Health,Psychopharmacology
Dinshaw J. Patel,Memorial Sloan-Kettering Cancer Center,150,549,82221,Memorial Sloan-Kettering Cancer Center,Structural Biology,Cancer Research
Dr. Jogy George,Raja Ramanna Centre for Advanced Technology (RRCAT),142,306,131924,Raja Ramanna Centre for Advanced Technology,Laser Technology,Accelerator Physics
Jagat B. Budhathoki,NIH-NIDDK,9,9,396,NIH-NIDDK,Diabetes Research,Metabolic Disorders
J B Oza,"Senior Lecturer, Applied Mechanics, Govt Polytechnic,Jamnagar",1,1,114,Govt Polytechnic,Jamnagar,Applied Mechanics
Jay B. Patel,"Lecturer in Functional Photonics & David Clarke EPSRC Fellow, King's College London",37,46,9407,King's College London,Functional Photonics,Advanced Materials
Jayanta B Sarma,Northumbria Healthcare NHS Foundation Trust,14,16,5170,Northumbria Healthcare NHS Foundation Trust,Infectious Diseases,Antimicrobial Resistance
Prof J.R. Banerjee,City University London,51,114,8816,City University London,Structural Dynamics,Vibration Analysis
Jitesh H. Panchal,"School of Mechanical Engineering, Purdue University, West Lafayette, IN",31,121,4353,Purdue University,Engineering Design,Decision Support Systems
Juan Jose Hernandez Rey,"IFIC - Instituto de Física Corpuscular (CSIC and UV), Spain",184,937,208438,University of Valencia,Particle Physics,Neutrino Physics
Junaid Hassan Masoodi,"Assistant Professor, Department of Mechanical Engineering, University of Kashmir",5,4,99,University of Kashmir,Mechanical Engineering,Thermal Systems
K.P.J. Hemalatha,Andhra University,19,40,1429,Andhra University,Environmental Chemistry,Analytical Chemistry
Jigneshkumar Ishwarlal Patel,B K Mody Government Pharmacy College Rajkot,5,3,91,B K Mody Government Pharmacy College Rajkot,Pharmaceutical Sciences,Drug Delivery Systems
Dinshaw J. Patel,Memorial Sloan-Kettering Cancer Center,150,549,82221,Memorial Sloan-Kettering Cancer Center,Structural Biology,Cancer Biology
Jayanthi Sivaswamy,IIIT Hyderabad,37,75,5882,IIIT Hyderabad,Medical Image Analysis,Computer Vision
Jerry Avorn,Harvard Medical School,151,549,116177,Harvard Medical School,Pharmacoepidemiology,Medication Adherence
Jayant James Jayasundar,Research Associate at University of Illinois at Chicago,7,7,340,University of Illinois at Chicago,Biomedical Engineering,Medical Imaging
Dr J K Jha,"Associate Professor, Industrial & Systems Engineering, Indian Institute of Technology Kharagpur",19,26,1458,Indian Institute of Technology Kharagpur,Supply Chain Management,Operations Research
JYOTI KAPOOR Bhargava,"ASSOCIATE PROFESSOR, GOVERNMENT DUNGAR COLLEGE, BIKANER",0,0,0,Government Dungar College,Bikaner,Environmental Science
Jignesh K Patel,Stony Brook University Medical Center,20,32,2007,Stony Brook University Medical Center,Cancer Research,Biomedical Informatics
Dr. Jitendra Kumar Singh,"Senior Oncologist & Founder Ex-Director, Mahavir Cancer Sansthan & Research Centre (Patna)",38,195,8789,Mahavir Cancer Sansthan & Research Centre,Oncology,Cancer Research
Karthikeyan Natesan Ramamurthy,"Research Staff Member, IBM Thomas J Watson Research Center, Yorktown Heights, NY",34,80,7925,IBM Thomas J Watson Research Center,Artificial Intelligence,Data Science
Krithikadatta,"Prof & Head, Department of Cariology, Saveetha Institute of Medical and Technical Sciences, Chennai",21,33,2248,Saveetha Institute of Medical and Technical Sciences,Cariology,Dental Materials
Jaya raja Kumar,Research coordinator,91,690,37912,Research coordinator,Education Technology,Curriculum Development
Laxmi Prasad J,MLR Institute of Technology,3,1,36,MLR Institute of Technology,Artificial Intelligence,Data Science
Jatin Shah,Memorial Sloan Kettering Cancer Center,158,597,78304,Memorial Sloan Kettering Cancer Center,Head and Neck Cancer,Thyroid Cancer
Jeyanthinath Mayandi,Department of Materials Science,28,64,2418,Bharathiar University,Nanomaterials,Energy Storage Materials
Dr. Sonalika Agarwal,"Hiroshima University, Japan",14,17,915,Hiroshima University,Environmental Science,Sustainable Development
"Bhanu Shrestha, PhD","Postdoc Fellow, John Hopkins University",11,11,237,Johns Hopkins University,Neuroscience,Biomedical Engineering
Dr. Joy Prakash Misra,"Assistant Professor, Indian Institute of Technology (BHU) Varanasi",21,50,1673,Indian Institute of Technology (BHU) Varanasi,Manufacturing Processes,Additive Manufacturing
Prakat Modi,"Research Assistant Professor, Shibaura Institute of Technology, Japan",4,2,38,Shibaura Institute of Technology,Robotics,Human-Computer Interaction
Jiten P. Tailor,"Department of Physics, M.B. Patel Science College, Sardar Patel University, Anand",16,21,1078,Sardar Patel University,Condensed Matter Physics,Material Science
Prabir K. Patra,"RIGC-ESSR/IACE, JAMSTEC",61,167,19874,JAMSTEC,Climate Change,Carbon Cycle
"Rajni Sharma, PhD","New Discovery Biologics, John’s Hopkins University",62,179,17256,John’s Hopkins University,Cancer Biology,Drug Discovery
J P Srivastava,"Banaras Hindu University, Varanasi, India",18,27,1402,Banaras Hindu University,Agricultural Sciences,Crop Improvement
Jitendra Pratap Singh,Software Engineer,49,309,18503,[No specific university/company found],Software Engineering,Artificial Intelligence
Jeremy Pal,Euro-Mediterranean Center on Climate Change,52,70,13201,Euro-Mediterranean Center on Climate Change,Climate Modeling,Environmental Sustainability
Jamila Butt,"Professor of Physics, Prince Sultan University",174,582,120973,Prince Sultan University,Condensed Matter Physics,Nanotechnology
Johar Singh Saini,Punjab Agricultural University,31,112,4615,Punjab Agricultural University,Agricultural Economics,Rural Development
Jagpal Singh Ubhi,"Professor, ECE Department, SLIET, Longowal",13,14,664,SLIET,Electronics and Communication Engineering,Signal Processing
JAY PRAKASH VERMA,"Assistant Professor, Institute of Environment and Sustainable Development, Banaras Hindu University",55,103,12108,Banaras Hindu University,Environmental Sustainability,Climate Change
Jaya Narayan Sahu,"Universität Stuttgart , Stuttgart",64,139,18997,Universität Stuttgart,Chemical Engineering,Environmental Sustainability
JAY SHANKAR KUMAR,Research scholar,90,779,37815,Research scholar,Artificial Intelligence,Data Science
Jakka Sarat Chandra Babu,"Professor of Chemical Engineering, National Institute of Technology Tiruchirappalli",10,11,444,National Institute of Technology Tiruchirappalli,Chemical Engineering,Process Optimization
Josyula Ramana Murthy,National Institute of Technology Warangal,14,20,482,National Institute of Technology Warangal,Power Systems,Renewable Energy
J. N. K. Rao,Carleton University,73,232,30344,Carleton University,Survey Sampling,Statistical Inference
Javed Khan,"Deputy Branch Chief Genetics Branch, Senior Investigator, Center for Cancer Research, NCI, NIH",88,380,33650,National Institutes of Health (NIH),Cancer Genetics,Pediatric Oncology
JB Sharma,ICAR-Indian Agricultural Research Institute,15,19,576,ICAR-Indian Agricultural Research Institute,Crop Improvement,Sustainable Agriculture
JAYANTHI K MURTHY,"Associate Professor, Department of Electronics and Communication,BMSCE",6,4,98,BMS College of Engineering,Signal Processing,Communication Systems
Jignesh K Patel,Stony Brook University Medical Center,20,32,2007,Stony Brook University Medical Center,Biomedical Informatics,Health Data Analytics
Shyam Pandey,Professor,43,180,8288,Professor,Artificial Intelligence,Data Science
Jaya Prasad Tripathy,"Associate Professor, Department of Community Medicine, All India Institute of Medical Sciences Nagpu",45,115,20408,All India Institute of Medical Sciences Nagpur,Public Health,Epidemiology
Ali I. Al Gareeb,Jabir Ibn Hayyan University for Medical and Pharmaceutical Sciences,48,247,9065,Jabir Ibn Hayyan University for Medical and Pharmaceutical Sciences,Pharmaceutical Sciences,Medicinal Chemistry
Mohammad Musaab Jaffar,University of Liverpool,11,12,518,University of Liverpool,Artificial Intelligence,Data Science
Jagdish Kumar,"Joint Director, ICAR - NIBSM",29,85,3835,ICAR - NIBSM,Agricultural Biotechnology,Pest Management
Dr. V.Jagadeesh Kumar,"Professor of Electrical Engineering, Indian Institute of Technology Madras",25,65,2495,Indian Institute of Technology Madras,Power Electronics,Renewable Energy Systems
Jagdish Khubchandani,New Mexico State University,94,215,128323,New Mexico State University,Public Health,Health Disparities
ABDULLAH AL MARUF,"Proffesior of English, Jagannath University",25,57,2031,Jagannath University,English Literature,Linguistics
Dr. Jagannath Malik,Indian Institute of Technology Patna (IIT Patna),16,20,1070,Indian Institute of Technology Patna,Power Systems,Renewable Energy Integration
Prof Jagdish M Rathod,"BVM Engineering College, V V Nagar-Anand-Gujarat-India",8,4,268,Charotar University of Science and Technology,Wireless Communication,Signal Processing
Jagriti Mishra,"Assistant Researcher,  Civil Engineering Research Institute for Cold Region Sapporo - Japan",6,6,227,Civil Engineering Research Institute for Cold Region,Cold Region Engineering,Infrastructure Resilience
Dr. Jahangir Ahmad Rather,"Assistant Professor, Department of Chemistry, Sri Pratap College, Cluster University, Srinagar",23,29,1449,Cluster University Srinagar,Chemistry,Environmental Chemistry
Dr. Jai Gopal Gupta,National Institute of Technology Sikkim,13,14,1209,National Institute of Technology Sikkim,Renewable Energy Systems,Power Electronics
"Jai Gopal Pandey, Ph.D.","Senior Principal Scientist, CSIR– Central Electronics Engg. Research Insti (CEERI), Pilani, India",13,19,434,CSIR– Central Electronics Engineering Research Institute (CEERI),Pilani,Electronics Engineering
Jai Prakash,Illinois Institute of Technology,56,135,12155,Illinois Institute of Technology,Power Systems,Renewable Energy Integration
V.JaiGanesh,"Professor, Dept of Mechanical Engineering, Bharath Institute of Higher Education and Research",19,31,1015,Bharath Institute of Higher Education and Research,Mechanical Engineering,Thermal Systems
Jaimala Gambhir,PEC University of Technology Chandigarh,8,6,203,PEC University of Technology Chandigarh,Power Systems,Renewable Energy
Jayaprakash Murugesan,"Associate Professor, MEMS, IIT Indore",17,31,828,IIT Indore,Microelectromechanical Systems (MEMS),Nanotechnology
Janardan Misra,Accenture,15,23,1633,Accenture,Artificial Intelligence,Data Analytics
Jasbir Singh,GGSIP University,33,122,5394,GGSIP University,Renewable Energy,Power Systems
Jaspreet Kaur Randhawa,Indian Institute of Technology Mandi,17,21,1178,Indian Institute of Technology Mandi,Materials Science,Nanotechnology
Jaswinder Kaur,"Assistant professor of Electronics and Communication ,SBSSTC ,Fzr",13,22,1549,Shaheed Bhagat Singh State Technical Campus (SBSSTC),Electronics and Communication,Signal Processing
jaswinder singh,"A.P, ABES Engineering College",70,438,23388,ABES Engineering College,Artificial Intelligence,Data Science
Jatin Bhatt,"Professor, Department of Metallurgical and Materials Engineering, VNIT Nagpur",21,42,1493,Visvesvaraya National Institute of Technology (VNIT) Nagpur,Materials Science,Metallurgical Engineering
Jatinder Kumar Ratan,"Deaprtment of Chemical Engineering, Dr BR Ambedkar National Institute of Technology",18,27,863,Dr BR Ambedkar National Institute of Technology,Chemical Engineering,Environmental Engineering
Ahmed Salam Jawad,Hilla university college,88,381,25228,Hilla University College,Renewable Energy,Environmental Engineering
"Jawar Singh, Ph.D.","Professor, Electrical Engineering Department, Indian Institute of Technology Patna",27,62,2604,Indian Institute of Technology Patna,Power Systems,Renewable Energy Integration
Jaya Shrivastava,Public Health England,8,8,615,Public Health England,Epidemiology,Infectious Diseases
Muthuvel Jayachandran,Mayo Clinic Rochester,38,74,15550,Mayo Clinic Rochester,Cancer Biology,Molecular Therapeutics
Jayanand B,SCMS School of Engineering and Technology,9,9,251,SCMS School of Engineering and Technology,Renewable Energy Systems,Power Electronics
Jaynarayan Thakurdas Tudu,"Indian Institute of Technology Tirupati, Tirupati",7,5,190,Indian Institute of Technology Tirupati,Power Systems,Renewable Energy Integration
Jayanta Pal,"ResearchDirector, Dr. D.Y. Patil Biotechnology & Bioinformatics Institute, Dr. D.Y. Patil Vidyapeeth",28,51,2858,Dr. D.Y. Patil Vidyapeeth,Biotechnology,Bioinformatics
Dr. Jayapandian Natarajan,"Associate Professor,Christ University, School of Engineering & Technology",17,32,1002,Christ University,Artificial Intelligence,Data Science
Balaji Jayaprakash,"Associate, Center for Neuroscience",20,24,3188,Indian Institute of Science (IISc),Neuroscience,Neurobiology
Dr. Jayaraj U Kidav,"Exec. Director/Scientist 'G', NIELIT Aurangabad",7,3,132,NIELIT Aurangabad,Information Technology,Electronics and Communication
Jeevanjyoti Chakraborty,"Associate Professor, Department of Mechanical Engineering, Indian Institute of Technology Kharagpur",16,25,740,Indian Institute of Technology Kharagpur,Fluid Mechanics,Heat Transfer
Jerin Paul,"Assistant Professor, Department of Statistics, Vimala College, Thrissur",7,4,101,Vimala College,Statistics,Data Analysis
Jhimli Bhattacharyya,"Associate Professor of Chemistry, National Institute of Technology Nagaland",17,29,1012,National Institute of Technology Nagaland,Chemistry,Materials Science
Jiji C.V.,"Professor, Shiv Nadar University Chennai",20,26,1443,Shiv Nadar University Chennai,Artificial Intelligence,Data Science
Jijo Pulickiyil Ulahannan,Kannur University,5,2,86,Kannur University,Environmental Science,Sustainable Development
JISHA MARIYAM JOHN,Research Scholar,1,0,5,Research Scholar,Environmental Science,Sustainable Development
Jitendra Kumar,Engineer at Coforge,83,780,35973,Coforge,Software Engineering,Artificial Intelligence
Jitender Kumar Chhabra,"Professor, Computer Engineering Department, National Institute of Technology, Kurukshetra-136119",29,63,2863,National Institute of Technology,Kurukshetra,Software Engineering
Jitesh Jhawar,"Assistant Professor, Ahmedabad University, Ahmedabad, Gujarat, India",5,3,208,Ahmedabad University,Operations Research,Supply Chain Management
Puthen Veettil Jithesh,Hamad Bin Khalifa University (HBKU),26,52,2343,Hamad Bin Khalifa University,Bioinformatics,Genomics
Jivtesh Garg,University of Oklahoma,25,41,4609,University of Oklahoma,Materials Science,Energy Storage
Dr.Jobin Jose,"Associate Professor,NGSMIPS, NITTE University,Stanford University World's Top 2% Scientist",21,40,1869,NITTE University,Pharmaceutical Sciences,Drug Discovery
Joby Joseph,Indian Institute of Technology Delhi,35,121,6360,Indian Institute of Technology Delhi,Photonics,Quantum Optics
Johnsi Stella I,"Professor, ECE Department, St. Joseph's College of Engineering, Chennai, Tamil Nadu",2,0,8,St. Joseph's College of Engineering,Signal Processing,Embedded Systems
François-Xavier Joly,"Researcher in Soil Ecology - INRAE, UMR Eco&Sols, Montpellier",23,26,2773,INRAE,Soil Ecology,Ecosystem Functioning
Jonali Das,"Research scholar, Tezpur University",3,3,60,Tezpur University,Environmental Science,Sustainable Development
Joseph L. Mathew,"Postgraduate Institute of Medical Education and Research (PGIMER) Chandigarh, India",43,129,9848,Postgraduate Institute of Medical Education and Research (PGIMER),Pediatrics,Evidence-Based Medicine
Dr.Jose. P.Therattil,"Professor, Jyothi Engineering College, Cheruthuruthy, Thrissur, Kerala, India",9,8,155,Jyothi Engineering College,Signal Processing,Wireless Communication
Joshuva Arockia Dhanraj,"Associate Professor, Dayananda Sagar University",25,58,2329,Dayananda Sagar University,Renewable Energy,Power Electronics
Joy Bergelson,The University of Chicago,82,146,30196,The University of Chicago,Plant-Microbe Interactions,Evolutionary Genetics
Martijn J. Burger,"Academic Director EHERO and Professor of Happiness Economics, Open University of the Netherlands",45,89,8744,Open University of the Netherlands,Happiness Economics,Urban Economics
Joy Mitra,"Instructor, HMRI",23,33,1669,HMRI,Neuroscience,Cognitive Psychology
Dr. Joy Sankar Deb Roy,"Ph.D., Polymer Science and Technology, University of Calcutta, Assistant Lead R&D, TFL Group",15,15,545,University of Calcutta,Polymer Science,Materials Technology
Joy Varghese,Director,16,27,761,Director,Artificial Intelligence,Data Science
Jayanta Roy-Chowdhury,"Professor of Medicine and Genetics, Albert Einstein College of Medicine",74,192,22211,Albert Einstein College of Medicine,Genetics,Medicine
Jupitara Hazarika,National Institute of Technology Silchar,6,5,243,National Institute of Technology Silchar,Power Systems,Renewable Energy
Jyoti Faujdar,Indian Institute of Technology Jodhpur,2,0,7,Indian Institute of Technology Jodhpur,Power Systems,Renewable Energy Integration
Jyoti Gautam,University of Georgia,23,31,1486,University of Georgia,Environmental Science,Sustainability Studies
Jyoti Ohri,"Professor of Elecrical Engg., National Institute of Technology , kurukshetra",16,26,657,National Institute of Technology Kurukshetra,Electrical Engineering,Power Systems
"Professor Dr. Jyoti Prakash Tamang FNA, FNASc, FNAAS","Senior Professor, Department of Microbiology, Sikkim University",55,126,10594,Sikkim University,Fermented Foods,Microbial Diversity
Prakash Jyoti Saikia,"Assistant professor of Geography, Tezpur College, Assam",1,0,1,Tezpur College,Geography,Environmental Studies
Dr. Jyoti Ranjan Mohanty,"Professor, Dept. of Physics, IIT Hyderabad, India",23,44,2309,Indian Institute of Technology Hyderabad,Condensed Matter Physics,Quantum Materials
Jyoti Sharma,Institute of Bioinformatics,23,29,4062,Institute of Bioinformatics,Genomics,Computational Biology
Jyoti Yadav,"Assistant Professor, NSUT,  Dwarka.",14,19,1282,NSUT,Dwarka,Artificial Intelligence
Prof. Dr. Sanjay Mathur,"Director, Institute of Inorganic Chemistry, University of Cologne, Germany",79,408,23083,University of Cologne,Nanomaterials,Chemical Vapor Deposition
Dr. K  A  Abdul Nazeer,"Professor, Dept. of Computer Science and Engineering, National Institute of Technology",12,13,1051,National Institute of Technology,Computer Science,Engineering
Kumar Aryan Chauhan,"Student of Computer Science, NIET",18,45,2871,NIET,Computer Science,Artificial Intelligence
Sampath Narayanan,Karolinska Institutet,8,8,564,Karolinska Institutet,Neuroscience,Neurodegenerative Diseases
Kalai Arasi Natarajan,"Associate Professor, N K T National College of Education for Women Chennai",3,3,109,N K T National College of Education for Women Chennai,Education,Women's Studies
Kashyap A Patel,"Wellcome Fellow, University of Exeter",31,50,4175,University of Exeter,Cancer Biology,Epigenetics
Kanneganti Abhiram,National University Hospital,12,12,1396,National University Hospital,Immunology,Infectious Diseases
Krupal B Patel,City of Hope,18,32,880,City of Hope,Cancer Biology,Immunotherapy
Dr. K.B. Rana,"Assistant Professor, Department of Mechanical Engineering, Rajasthan Technical University, Kota",14,19,541,Rajasthan Technical University,Mechanical Engineering,Thermal Engineering
Kiran Bhaskar,University of New Mexico,29,35,18581,University of New Mexico,Transportation Engineering,Traffic Safety
Dr. Kamlesh Chandra Purohit,Graphic Era University,10,10,286,Graphic Era University,Computer Science,Data Mining
Krishnendu Chakrabarty,"Fulton  Professor of Microelectronics, School of  Electrical and Computer and Energy Engineering",94,653,39518,Duke University,Microfluidics,Design and Testing of Integrated Circuits
K Chandrasekaran,"Professor of Computer Science and Engineering, National Institute of Technology Karnataka, Surathkal",35,143,5967,National Institute of Technology Karnataka,Surathkal,Computer Networks
Dr Kuppam Chandrasekhar,"Department of Biotechnology, Vignan's Foundation for Science, Technology and Research",44,77,6964,Vignan's Foundation for Science,Technology and Research,Biotechnology
Krishna P Bhat,Mayo Clinic,45,65,14567,Mayo Clinic,Cancer Biology,Neuro-Oncology
Anil K Patel,"Post Doctoral Fellow, University of Blaise Pascal",91,468,39028,University of Blaise Pascal,Materials Science,Nanotechnology
Dr Rakesh Kumar Yadav,"Assistant Professor, Agriculture University, Kota, Rajasthan, India",62,488,20793,Agriculture University,Kota,Crop Science
Klaus Pantel,Professor der Medizin,149,567,95859,University Medical Center Hamburg-Eppendorf,Liquid Biopsy,Cancer Metastasis
Dr. K. Balamurugan,"Associate Professor, Department of Physics, Dhanalakshmi Srinivasan University, Tiruchirapalli",16,20,1336,Dhanalakshmi Srinivasan University,Condensed Matter Physics,Material Science
Deepak K. Datta,"Eunice and James West Chair of Business, University of Texas at Arlington",40,52,16470,University of Texas at Arlington,Strategic Management,Corporate Governance
Karuppanan Eswaran,"Scientist, CSIR-CSMCRI",23,31,2411,CSIR-CSMCRI,Environmental Chemistry,Marine Biotechnology
Kamlesh G. Patel,"Navsari Agricultural University, Navsari",9,9,214,Navsari Agricultural University,Agricultural Biotechnology,Crop Improvement
Dr. S.Sai Satynarayana Reddy,"Principal, KG Reddy College of Engineering & Technology",21,30,1452,KG Reddy College of Engineering & Technology,Engineering Education,Sustainable Development
K.G. Sharma,Professor,20,38,2889,University of Rajasthan,Solid State Physics,Material Science
Sourav K. Ghosh,"Lecturer in Healthcare Engineering, Loughborough University",115,624,53963,Loughborough University,Healthcare Engineering,Medical Device Innovation
Kurinchiselvan Gurusamy,University College London,94,248,31636,University College London,Computer Networks,Network Security
Dr. Gyanendra Kumar Singh,"Laxmi Chand Institute of Technology,  Bilaspur",21,43,1367,Laxmi Chand Institute of Technology,Renewable Energy,Power Systems
Dr. K. Hemachandra Reddy,JNTU Anantapur,29,56,4491,JNTU Anantapur,Power Systems,Renewable Energy
Hemant Kumar Mulmudi,Analyst,24,29,5679,Analyst,Data Science,Artificial Intelligence
Ketut Jaya Atmaja,Institut Bisnis dan Teknologi Indonesia (INSTIKI),9,8,381,Institut Bisnis dan Teknologi Indonesia (INSTIKI),Information Technology,Business Innovation
K James Mathai,Associate Professor,9,9,224,Christ University,Mathematics Education,Curriculum Development
"Krishna J Patel, PhD",Icahn School of Medicine at Mount Sinai,3,2,269,Icahn School of Medicine at Mount Sinai,Cancer Biology,Epigenetics
Muthu Kumara Gnanasammandhan Jayakumar,"Research Fellow, National University of Singapore",22,23,4863,National University of Singapore,Biomedical Engineering,Nanotechnology
Dr. K. Jayamoorthy,"Department of Chemistry, St Joseph's College of Engineering",29,72,2494,St Joseph's College of Engineering,Organic Chemistry,Materials Science
Kaushalendra Kumar Singh,G.L. Bajaj Institute of Technology & Management,13,22,959,G.L. Bajaj Institute of Technology & Management,Renewable Energy Systems,Power Electronics
Keshari Kishore Jha,"Director, Teerthanker Mahaveer College of Pharmacy, TMU",29,50,3358,Teerthanker Mahaveer University,Pharmaceutical Sciences,Drug Delivery Systems
Krzysztof Malik,"professor of economics, Politechnika Opolska (Opole University of Technology)",16,26,815,Politechnika Opolska,Economics,Economic Policy
Karuna Kara Mishra,UNIVERSITY OF PUERTO RICO,19,31,1412,University of Puerto Rico,Environmental Science,Climate Change
Upasana Mahanta,"Assistant Professor, BITS Pilani K.K. Birla Goa Campus",7,6,150,BITS Pilani,Environmental Engineering,Water Resources Management
Krishna Kumar Patel,Workshop superintendent,28,46,2722,Workshop Superintendent,Engineering Education,Technical Training
K K Pattanaik,Professor of Information Technology,18,41,1122,KIIT University,Information Technology,Data Science
k k sharma,Professor of Zoology Maharshi Dayanand Saraswati University Ajmer,55,399,16485,Maharshi Dayanand Saraswati University,Zoology,Environmental Biology
KALLOL KUMAR GHOSH,"Pt. Ravishankar Shukla University, Raipur, INDIA",35,126,4248,Pt. Ravishankar Shukla University,Environmental Chemistry,Analytical Chemistry
Keshav K Singh,University of Alabama at Birmingham,71,241,18679,University of Alabama at Birmingham,Mitochondrial Biology,Cancer Genetics
A/Prof Suresh Chandran,"Senior Consultant, KK Hospital, Singapore. Faculty at Duke NUS, LKC and YLL Medical Schools",16,30,986,KK Hospital,Medical Education,Clinical Research
Dr.K.K.Tripathi,"Associate Professor at the Institute of Technology, Nirma University, Ahmedabad, India",10,10,627,Nirma University,Signal Processing,Communication Systems
Karthik Narasimhan,"Associate Professor, Princeton University",41,81,28253,Princeton University,Natural Language Processing,Artificial Intelligence
Karthika Viswanathan,"post-doctoral fellow, Pukyong National University, South Korea",17,19,2229,Pukyong National University,Marine Biology,Environmental Science
Dr. K V Reddy,MARRI LAXMAN REDDY INSTITUTE OF TECHNOLOGY AND MANAGEMENT,16,19,1599,Jawaharlal Nehru Technological University Hyderabad,Wireless Communication,Signal Processing
Meera Sheriffa Begum K M,Professor,32,59,3475,Anna University,Environmental Engineering,Water Resources Management
Khadija Murshid Al-Balushi,University of Debrecen,3,0,16,University of Debrecen,Public Health,Health Policy
Keerthilatha M Pai,"Sikkim Manipal Institute of Medical Sciences, Sikkim Manipal University,Gangtok",34,87,4433,Sikkim Manipal University,Medical Sciences,Public Health
rakesh pandey,"Professor in Physics, K M College, Delhi University",4,2,70,University of Delhi,Condensed Matter Physics,Quantum Mechanics
Ketan M. Patel,Physical Research Laboratory,23,34,1662,Physical Research Laboratory,Astrophysics,Space Science
Kana M Sureshan,"Professor, Indian Institute of Science Education and Research Thiruvananthapuram, Kerala",33,95,3958,Indian Institute of Science Education and Research Thiruvananthapuram,Organic Chemistry,Supramolecular Chemistry
Vanitha K M,M.S.Ramaiah Institute of Technology,1,1,14,M.S. Ramaiah Institute of Technology,Signal Processing,Wireless Communication
Madhavi Reddy K,"Prinipal Scientist, Division of Vegetable Crops, ICAR-IIHR, Bangalore",22,55,2135,ICAR-IIHR,Vegetable Crop Improvement,Horticultural Biotechnology
Madhu Murthy K,"Professor, NIT Warangal",14,20,1021,NIT Warangal,Power Systems,Renewable Energy Integration
Karthik Muralidharan,"Tata Chancellor's Professor of Economics, UC San Diego",39,53,12301,University of California,San Diego,Education Economics
Kumarasamy Murugesan,"Professor, Department of Environmental Science, Periyar University",34,54,4373,Periyar University,Environmental Science,Pollution Control
Dr Somasundaram Krishnan,"Principal, Sri Muthukumaran Institute of Technology, Chikkarayapuram, Near Mangadu, Chennai-600069",19,32,1586,Sri Muthukumaran Institute of Technology,Engineering Education,Sustainable Development
K N Jariwala,"Assistant Professor, SVNIT",7,4,130,SVNIT,Structural Engineering,Concrete Technology
Krishnaprasad Nambur Ramamohan,Signal Processing/Machine Learning Research Scientist at Microflown AVISA,5,4,83,Microflown AVISA,Signal Processing,Machine Learning
K N pathak,Professor of Physics Panjab University,24,60,1952,Panjab University,Condensed Matter Physics,Statistical Mechanics
raja rao kn,Professor of ECE,4,0,28,Indian Institute of Technology (IIT) Delhi,Signal Processing,Wireless Communication
Kunjan Pareshkumar  Shah,"Associate professor Department of general medicine , Dr. N. D . Desai Faculty of medical science and",0,0,0,N. D. Desai Faculty of Medical Science,General Medicine,Clinical Research
Kaushik P. Patel,"Professor of Physiology, UNMC",62,199,12242,University of Nebraska Medical Center,Cardiovascular Physiology,Neurophysiology
Dr. Seetharama Rao K P,St. Matthews University School of Medicine,6,5,447,St. Matthews University School of Medicine,Medical Education,Clinical Research
K P SHARMA,professor of botany,35,112,5666,Tribhuvan University,Plant Taxonomy,Ethnobotany
"Kunwar P. Singh, Ph.D., FAEB, FIC","Ex-Chief Scientist, CSIR-Indian Institute of Toxicology Research",71,385,29720,CSIR-Indian Institute of Toxicology Research,Environmental Toxicology,Risk Assessment
KP SUDHEER,Indian Institute of Technology Madras,47,102,11005,Indian Institute of Technology Madras,Fluid Mechanics,Heat Transfer
Kameshwar Prasad,"Professor of Neurology, All India Institute of Medical Sciences",64,232,26797,All India Institute of Medical Sciences,Neurology,Stroke Research
Dr. Jansi Rani Balasubramanian,"Postdoctoral Researcher, Ajou University, South Korea",25,49,1860,Ajou University,Postdoctoral Research,Biomedical Engineering
Karishma Rohanraj Desai,Carelon Research,10,11,590,Carelon Research,Health Outcomes,Health Economics
Khaleequr  Rehman Niazi,"Electrical Engineering Department, MNIT, Jaipur",38,122,5334,MNIT Jaipur,Power Systems,Renewable Energy
